SuperHero,SuperPower,IssueResolution
Sentry,Flight,Infrastructure Improvements
Sentry,Intelligence,Education Improvements
Sentry,Super Strength,Infrastructure Improvements
Sentry,Telepathy,Education Improvements
Sentry,Energy Blasts,Infrastructure Improvements
Sentry,Stamina,Medical (COVID-19)
Sentry,Super Speed,Medical (COVID-19)
Sentry,Enhanced Senses,Medical (COVID-19)
Sentry,Telekinesis,Infrastructure Improvements
Sentry,Immortality,Medical (COVID-19)
Sentry,Reflexes,Miscellaneous
Sentry,Invulnerability,Medical (COVID-19)
Sentry,Force Fields,Large Scale Conflict
Sentry,Enhanced Hearing,Large Scale Conflict
Sentry,Molecular Manipulation,Medical (COVID-19)
Sentry,Light Control,Drug Addiction
Sentry,Vision - Telescopic,Large Scale Conflict
Sentry,Vision - Infrared,Miscellaneous
Sentry,Resurrection,Medical (COVID-19)
Sentry,Vision - Thermal,Infrastructure Improvements
Shadow King,Telepathy,Education Improvements
Shadow King,Possession,Miscellaneous
Shadow King,Immortality,Medical (COVID-19)
Shadow King,Astral Projection,Drug Addiction
Shadow King,Psionic Powers,Drug Addiction
Shadow King,Natural Weapons,Large Scale Conflict
Shadow Lass,Agility,Large Scale Conflict
Shadow Lass,Stealth,Miscellaneous
Shadow Lass,Flight,Infrastructure Improvements
Shadow Lass,Intelligence,Education Improvements
Shadow Lass,Super Speed,Medical (COVID-19)
Shadow Lass,Darkforce Manipulation,Miscellaneous
Shadowcat,Stealth,Miscellaneous
Shadowcat,Weapons Master,Large Scale Conflict
Shadowcat,Intelligence,Education Improvements
Shadowcat,Camouflage,Large Scale Conflict
Shadowcat,Phasing,Infrastructure Improvements
Shadowcat,Intangibility,Infrastructure Improvements
Shadowcat,Levitation,Infrastructure Improvements
Shadowcat,Cloaking,Large Scale Conflict
Shadowcat,Telepathy Resistance,Miscellaneous
Shang-Chi,Agility,Large Scale Conflict
Shang-Chi,Durability,Medical (COVID-19)
Shang-Chi,Stealth,Miscellaneous
Shang-Chi,Stamina,Medical (COVID-19)
Shang-Chi,Reflexes,Miscellaneous
Shang-Chi,Toxin and Disease Resistance,Medical (COVID-19)
Shatterstar,Agility,Large Scale Conflict
Shatterstar,Accelerated Healing,Medical (COVID-19)
Shatterstar,Durability,Medical (COVID-19)
Shatterstar,Super Strength,Infrastructure Improvements
Shatterstar,Energy Blasts,Infrastructure Improvements
Shatterstar,Super Speed,Medical (COVID-19)
She-Hulk,Accelerated Healing,Medical (COVID-19)
She-Hulk,Durability,Medical (COVID-19)
She-Hulk,Longevity,Medical (COVID-19)
She-Hulk,Intelligence,Education Improvements
She-Hulk,Super Strength,Infrastructure Improvements
She-Hulk,Stamina,Medical (COVID-19)
She-Hulk,Jump,Miscellaneous
She-Hulk,Invulnerability,Medical (COVID-19)
She-Thing,Cold Resistance,Miscellaneous
She-Thing,Durability,Medical (COVID-19)
She-Thing,Super Strength,Infrastructure Improvements
She-Thing,Heat Resistance,Infrastructure Improvements
Shocker,Marksmanship,Large Scale Conflict
Shocker,Weapons Master,Large Scale Conflict
Shocker,Energy Blasts,Infrastructure Improvements
Shocker,Power Suit,Large Scale Conflict
Shriek,Flight,Infrastructure Improvements
Shriek,Energy Blasts,Infrastructure Improvements
Shriek,Audio Control,Miscellaneous
Shriek,Telekinesis,Infrastructure Improvements
Shriek,Empathy,Drug Addiction
Shriek,Psionic Powers,Drug Addiction
Shriek,Levitation,Infrastructure Improvements
Shriek,Sonic Scream,Large Scale Conflict
Sif,Agility,Large Scale Conflict
Sif,Accelerated Healing,Medical (COVID-19)
Sif,Durability,Medical (COVID-19)
Sif,Weapons Master,Large Scale Conflict
Sif,Longevity,Medical (COVID-19)
Sif,Super Strength,Infrastructure Improvements
Sif,Stamina,Medical (COVID-19)
Sif,Super Speed,Medical (COVID-19)
Sif,Teleportation,Medical (COVID-19)
Sif,Enhanced Senses,Medical (COVID-19)
Sif,Dimensional Travel,Miscellaneous
Sif,Reflexes,Miscellaneous
Silk,Agility,Large Scale Conflict
Silk,Accelerated Healing,Medical (COVID-19)
Silk,Durability,Medical (COVID-19)
Silk,Stealth,Miscellaneous
Silk,Danger Sense,Large Scale Conflict
Silk,Marksmanship,Large Scale Conflict
Silk,Animal Attributes,Miscellaneous
Silk,Super Strength,Infrastructure Improvements
Silk,Stamina,Medical (COVID-19)
Silk,Super Speed,Medical (COVID-19)
Silk,Animal Oriented Powers,Miscellaneous
Silk,Jump,Miscellaneous
Silk,Reflexes,Miscellaneous
Silk,Substance Secretion,Medical (COVID-19)
Silk,Natural Weapons,Large Scale Conflict
Silk,Wallcrawling,Infrastructure Improvements
Silk,Web Creation,Infrastructure Improvements
Silk Spectre,Peak Human Condition,Medical (COVID-19)
Silk Spectre II,Peak Human Condition,Medical (COVID-19)
Silver Surfer,Agility,Large Scale Conflict
Silver Surfer,Dimensional Awareness,Education Improvements
Silver Surfer,Durability,Medical (COVID-19)
Silver Surfer,Energy Absorption,Climate Change
Silver Surfer,Flight,Infrastructure Improvements
Silver Surfer,Marksmanship,Large Scale Conflict
Silver Surfer,Super Strength,Infrastructure Improvements
Silver Surfer,Energy Blasts,Infrastructure Improvements
Silver Surfer,Stamina,Medical (COVID-19)
Silver Surfer,Super Speed,Medical (COVID-19)
Silver Surfer,Teleportation,Medical (COVID-19)
Silver Surfer,Immortality,Medical (COVID-19)
Silver Surfer,Phasing,Infrastructure Improvements
Silver Surfer,Invulnerability,Medical (COVID-19)
Silver Surfer,Intangibility,Infrastructure Improvements
Silver Surfer,Molecular Manipulation,Medical (COVID-19)
Silver Surfer,Gravity Control,Large Scale Conflict
Silver Surfer,Energy Manipulation,Infrastructure Improvements
Silver Surfer,Time Travel,Medical (COVID-19)
Silver Surfer,Power Cosmic,Miscellaneous
Silver Surfer,Portal Creation,Miscellaneous
Silverclaw,Agility,Large Scale Conflict
Silverclaw,Flight,Infrastructure Improvements
Silverclaw,Super Strength,Infrastructure Improvements
Silverclaw,Super Speed,Medical (COVID-19)
Silverclaw,Animal Oriented Powers,Miscellaneous
Silverclaw,Enhanced Senses,Medical (COVID-19)
Silverclaw,Shapeshifting,Miscellaneous
Simon Baz,Agility,Large Scale Conflict
Simon Baz,Accelerated Healing,Medical (COVID-19)
Simon Baz,Lantern Power Ring,Infrastructure Improvements
Simon Baz,Flight,Infrastructure Improvements
Simon Baz,Marksmanship,Large Scale Conflict
Simon Baz,Super Strength,Infrastructure Improvements
Simon Baz,Energy Armor,Large Scale Conflict
Simon Baz,Energy Blasts,Infrastructure Improvements
Simon Baz,Stamina,Medical (COVID-19)
Simon Baz,Super Speed,Medical (COVID-19)
Simon Baz,Energy Beams,Large Scale Conflict
Simon Baz,Reflexes,Miscellaneous
Simon Baz,Energy Constructs,Infrastructure Improvements
Simon Baz,Force Fields,Large Scale Conflict
Simon Baz,Precognition,Medical (COVID-19)
Sinestro,Agility,Large Scale Conflict
Sinestro,Durability,Medical (COVID-19)
Sinestro,Flight,Infrastructure Improvements
Sinestro,Marksmanship,Large Scale Conflict
Sinestro,Super Strength,Infrastructure Improvements
Sinestro,Energy Blasts,Infrastructure Improvements
Sinestro,Super Speed,Medical (COVID-19)
Sinestro,Energy Constructs,Infrastructure Improvements
Sinestro,Force Fields,Large Scale Conflict
Sinestro,Qwardian Power Ring,Large Scale Conflict
Siren,Cold Resistance,Miscellaneous
Siren,Durability,Medical (COVID-19)
Siren,Stealth,Miscellaneous
Siren,Underwater breathing,Medical (COVID-19)
Siren,Super Strength,Infrastructure Improvements
Siren,Telepathy,Education Improvements
Siren,Super Speed,Medical (COVID-19)
Siren,Jump,Miscellaneous
Siren,Dimensional Travel,Miscellaneous
Siren,Reflexes,Miscellaneous
Siren,Enhanced Hearing,Large Scale Conflict
Siren,Water Control,Infrastructure Improvements
Siren,Sub-Mariner,Climate Change
Siren,Vision - Night,Large Scale Conflict
Siren II,Underwater breathing,Medical (COVID-19)
Siren II,Super Strength,Infrastructure Improvements
Siren II,Stamina,Medical (COVID-19)
Siren II,Hypnokinesis,Drug Addiction
Siryn,Flight,Infrastructure Improvements
Siryn,Enhanced Hearing,Large Scale Conflict
Siryn,Sonar,Miscellaneous
Siryn,Sonic Scream,Large Scale Conflict
Skaar,Accelerated Healing,Medical (COVID-19)
Skaar,Super Strength,Infrastructure Improvements
Skaar,Stamina,Medical (COVID-19)
Skaar,Jump,Miscellaneous
Skaar,Elemental Transmogrification,Miscellaneous
Snowbird,Accelerated Healing,Medical (COVID-19)
Snowbird,Flight,Infrastructure Improvements
Snowbird,Animal Attributes,Miscellaneous
Snowbird,Super Strength,Infrastructure Improvements
Snowbird,Stamina,Medical (COVID-19)
Snowbird,Animal Oriented Powers,Miscellaneous
Snowbird,Enhanced Senses,Medical (COVID-19)
Snowbird,Shapeshifting,Miscellaneous
Snowbird,Precognition,Medical (COVID-19)
Sobek,Durability,Medical (COVID-19)
Sobek,Super Strength,Infrastructure Improvements
Solomon Grundy,Cold Resistance,Miscellaneous
Solomon Grundy,Durability,Medical (COVID-19)
Solomon Grundy,Energy Absorption,Climate Change
Solomon Grundy,Super Strength,Infrastructure Improvements
Solomon Grundy,Stamina,Medical (COVID-19)
Solomon Grundy,Invulnerability,Medical (COVID-19)
Solomon Grundy,Self-Sustenance,Medical (COVID-19)
Solomon Grundy,Fire Resistance,Large Scale Conflict
Solomon Grundy,Toxin and Disease Resistance,Medical (COVID-19)
Solomon Grundy,Resurrection,Medical (COVID-19)
Songbird,Agility,Large Scale Conflict
Songbird,Durability,Medical (COVID-19)
Songbird,Flight,Infrastructure Improvements
Songbird,Super Strength,Infrastructure Improvements
Songbird,Stamina,Medical (COVID-19)
Songbird,Audio Control,Miscellaneous
Songbird,Super Speed,Medical (COVID-19)
Songbird,Reflexes,Miscellaneous
Space Ghost,Agility,Large Scale Conflict
Space Ghost,Flight,Infrastructure Improvements
Space Ghost,Weapons Master,Large Scale Conflict
Space Ghost,Intelligence,Education Improvements
Space Ghost,Super Strength,Infrastructure Improvements
Space Ghost,Energy Blasts,Infrastructure Improvements
Space Ghost,Stamina,Medical (COVID-19)
Space Ghost,Phasing,Infrastructure Improvements
Space Ghost,Invulnerability,Medical (COVID-19)
Space Ghost,Force Fields,Large Scale Conflict
Space Ghost,Heat Generation,Infrastructure Improvements
Space Ghost,Magnetism,Infrastructure Improvements
Space Ghost,Invisibility,Miscellaneous
Spawn,Agility,Large Scale Conflict
Spawn,Durability,Medical (COVID-19)
Spawn,Stealth,Miscellaneous
Spawn,Flight,Infrastructure Improvements
Spawn,Weapons Master,Large Scale Conflict
Spawn,Super Strength,Infrastructure Improvements
Spawn,Telepathy,Education Improvements
Spawn,Stamina,Medical (COVID-19)
Spawn,Super Speed,Medical (COVID-19)
Spawn,Teleportation,Medical (COVID-19)
Spawn,Magic,Miscellaneous
Spawn,Shapeshifting,Miscellaneous
Spawn,Immortality,Medical (COVID-19)
Spawn,Invulnerability,Medical (COVID-19)
Spawn,Empathy,Drug Addiction
Spawn,Power Suit,Large Scale Conflict
Spawn,Resurrection,Medical (COVID-19)
Spawn,Symbiote Costume,Miscellaneous
Spectre,Agility,Large Scale Conflict
Spectre,Accelerated Healing,Medical (COVID-19)
Spectre,Dimensional Awareness,Education Improvements
Spectre,Stealth,Miscellaneous
Spectre,Energy Absorption,Climate Change
Spectre,Flight,Infrastructure Improvements
Spectre,Marksmanship,Large Scale Conflict
Spectre,Longevity,Medical (COVID-19)
Spectre,Intelligence,Education Improvements
Spectre,Super Strength,Infrastructure Improvements
Spectre,Telepathy,Education Improvements
Spectre,Energy Blasts,Infrastructure Improvements
Spectre,Duplication,Medical (COVID-19)
Spectre,Size Changing,Infrastructure Improvements
Spectre,Density Control,Climate Change
Spectre,Stamina,Medical (COVID-19)
Spectre,Super Speed,Medical (COVID-19)
Spectre,Possession,Miscellaneous
Spectre,Electrokinesis,Infrastructure Improvements
Spectre,Darkforce Manipulation,Miscellaneous
Spectre,Death Touch,Miscellaneous
Spectre,Teleportation,Medical (COVID-19)
Spectre,Magic,Miscellaneous
Spectre,Immortality,Medical (COVID-19)
Spectre,Phasing,Infrastructure Improvements
Spectre,Astral Projection,Drug Addiction
Spectre,Fire Control,Climate Change
Spectre,Invulnerability,Medical (COVID-19)
Spectre,Energy Constructs,Infrastructure Improvements
Spectre,Force Fields,Large Scale Conflict
Spectre,Psionic Powers,Drug Addiction
Spectre,Elasticity,Infrastructure Improvements
Spectre,Animation,Education Improvements
Spectre,Precognition,Medical (COVID-19)
Spectre,Hypnokinesis,Drug Addiction
Spectre,Animal Control,Miscellaneous
Spectre,Heat Generation,Infrastructure Improvements
Spectre,Gravity Control,Large Scale Conflict
Spectre,Light Control,Drug Addiction
Spectre,Levitation,Infrastructure Improvements
Spectre,Time Travel,Medical (COVID-19)
Spectre,Illusions,Drug Addiction
Spectre,Water Control,Infrastructure Improvements
Spectre,Omnilingualism,Education Improvements
Spectre,Time Manipulation,Medical (COVID-19)
Spectre,Invisibility,Miscellaneous
Spectre,Sub-Mariner,Climate Change
Spectre,Vision - Heat,Infrastructure Improvements
Spectre,Reality Warping,Education Improvements
Speedball,Energy Absorption,Climate Change
Speedball,Energy Armor,Large Scale Conflict
Speedball,Telekinesis,Infrastructure Improvements
Speedball,Force Fields,Large Scale Conflict
Speedy,Stealth,Miscellaneous
Speedy,Marksmanship,Large Scale Conflict
Speedy,Weapons Master,Large Scale Conflict
Speedy,Stamina,Medical (COVID-19)
Speedy,Reflexes,Miscellaneous
Spider-Girl,Agility,Large Scale Conflict
Spider-Girl,Accelerated Healing,Medical (COVID-19)
Spider-Girl,Stealth,Miscellaneous
Spider-Girl,Danger Sense,Large Scale Conflict
Spider-Girl,Intelligence,Education Improvements
Spider-Girl,Super Strength,Infrastructure Improvements
Spider-Girl,Stamina,Medical (COVID-19)
Spider-Girl,Dexterity,Drug Addiction
Spider-Girl,Super Speed,Medical (COVID-19)
Spider-Girl,Jump,Miscellaneous
Spider-Girl,Reflexes,Miscellaneous
Spider-Girl,Enhanced Hearing,Large Scale Conflict
Spider-Girl,Natural Weapons,Large Scale Conflict
Spider-Girl,Wallcrawling,Infrastructure Improvements
Spider-Girl,Web Creation,Infrastructure Improvements
Spider-Gwen,Agility,Large Scale Conflict
Spider-Gwen,Accelerated Healing,Medical (COVID-19)
Spider-Gwen,Durability,Medical (COVID-19)
Spider-Gwen,Stealth,Miscellaneous
Spider-Gwen,Danger Sense,Large Scale Conflict
Spider-Gwen,Marksmanship,Large Scale Conflict
Spider-Gwen,Animal Attributes,Miscellaneous
Spider-Gwen,Super Strength,Infrastructure Improvements
Spider-Gwen,Stamina,Medical (COVID-19)
Spider-Gwen,Super Speed,Medical (COVID-19)
Spider-Gwen,Animal Oriented Powers,Miscellaneous
Spider-Gwen,Jump,Miscellaneous
Spider-Gwen,Reflexes,Miscellaneous
Spider-Gwen,Substance Secretion,Medical (COVID-19)
Spider-Gwen,Wallcrawling,Infrastructure Improvements
Spider-Gwen,Web Creation,Infrastructure Improvements
Spider-Man,Agility,Large Scale Conflict
Spider-Man,Accelerated Healing,Medical (COVID-19)
Spider-Man,Durability,Medical (COVID-19)
Spider-Man,Stealth,Miscellaneous
Spider-Man,Danger Sense,Large Scale Conflict
Spider-Man,Marksmanship,Large Scale Conflict
Spider-Man,Animal Attributes,Miscellaneous
Spider-Man,Super Strength,Infrastructure Improvements
Spider-Man,Stamina,Medical (COVID-19)
Spider-Man,Super Speed,Medical (COVID-19)
Spider-Man,Animal Oriented Powers,Miscellaneous
Spider-Man,Enhanced Senses,Medical (COVID-19)
Spider-Man,Jump,Miscellaneous
Spider-Man,Reflexes,Miscellaneous
Spider-Man,Substance Secretion,Medical (COVID-19)
Spider-Man,Natural Weapons,Large Scale Conflict
Spider-Man,Toxin and Disease Resistance,Medical (COVID-19)
Spider-Man,Wallcrawling,Infrastructure Improvements
Spider-Man,Vision - Night,Large Scale Conflict
Spider-Man,Web Creation,Infrastructure Improvements
Spider-Woman,Agility,Large Scale Conflict
Spider-Woman,Durability,Medical (COVID-19)
Spider-Woman,Flight,Infrastructure Improvements
Spider-Woman,Super Strength,Infrastructure Improvements
Spider-Woman,Energy Blasts,Infrastructure Improvements
Spider-Woman,Stamina,Medical (COVID-19)
Spider-Woman,Super Speed,Medical (COVID-19)
Spider-Woman,Reflexes,Miscellaneous
Spider-Woman,Enhanced Hearing,Large Scale Conflict
Spider-Woman,Toxin and Disease Control,Medical (COVID-19)
Spider-Woman,Toxin and Disease Resistance,Medical (COVID-19)
Spider-Woman,Wallcrawling,Infrastructure Improvements
Spider-Woman III,Agility,Large Scale Conflict
Spider-Woman III,Flight,Infrastructure Improvements
Spider-Woman III,Super Strength,Infrastructure Improvements
Spider-Woman III,Telepathy,Education Improvements
Spider-Woman III,Energy Blasts,Infrastructure Improvements
Spider-Woman III,Stamina,Medical (COVID-19)
Spider-Woman III,Super Speed,Medical (COVID-19)
Spider-Woman III,Reflexes,Miscellaneous
Spider-Woman III,Wallcrawling,Infrastructure Improvements
Spider-Woman IV,Agility,Large Scale Conflict
Spider-Woman IV,Flight,Infrastructure Improvements
Spider-Woman IV,Super Strength,Infrastructure Improvements
Spider-Woman IV,Telepathy,Education Improvements
Spider-Woman IV,Energy Blasts,Infrastructure Improvements
Spider-Woman IV,Super Speed,Medical (COVID-19)
Spider-Woman IV,Psionic Powers,Drug Addiction
Spider-Woman IV,Precognition,Medical (COVID-19)
Spider-Woman IV,Power Absorption,Miscellaneous
Spider-Woman IV,Hypnokinesis,Drug Addiction
Spider-Woman IV,Wallcrawling,Infrastructure Improvements
Spock,Stealth,Miscellaneous
Spock,Longevity,Medical (COVID-19)
Spock,Intelligence,Education Improvements
Spock,Super Strength,Infrastructure Improvements
Spock,Telepathy,Education Improvements
Spock,Stamina,Medical (COVID-19)
Spock,Psionic Powers,Drug Addiction
Spock,Enhanced Hearing,Large Scale Conflict
Spock,Omnilingualism,Education Improvements
Spyke,Accelerated Healing,Medical (COVID-19)
Spyke,Stamina,Medical (COVID-19)
Spyke,Natural Armor,Large Scale Conflict
Spyke,Heat Generation,Infrastructure Improvements
Spyke,Natural Weapons,Large Scale Conflict
Spyke,Wallcrawling,Infrastructure Improvements
Star-Lord,Agility,Large Scale Conflict
Star-Lord,Durability,Medical (COVID-19)
Star-Lord,Marksmanship,Large Scale Conflict
Star-Lord,Weapons Master,Large Scale Conflict
Star-Lord,Longevity,Medical (COVID-19)
Star-Lord,Intelligence,Education Improvements
Star-Lord,Stamina,Medical (COVID-19)
Star-Lord,Peak Human Condition,Medical (COVID-19)
Stardust,Durability,Medical (COVID-19)
Stardust,Energy Absorption,Climate Change
Stardust,Flight,Infrastructure Improvements
Stardust,Longevity,Medical (COVID-19)
Stardust,Super Strength,Infrastructure Improvements
Stardust,Energy Blasts,Infrastructure Improvements
Stardust,Stamina,Medical (COVID-19)
Stardust,Super Speed,Medical (COVID-19)
Stardust,Energy Beams,Large Scale Conflict
Stardust,Invulnerability,Medical (COVID-19)
Stardust,Force Fields,Large Scale Conflict
Stardust,Self-Sustenance,Medical (COVID-19)
Stardust,Power Cosmic,Miscellaneous
Stardust,Toxin and Disease Resistance,Medical (COVID-19)
Starfire,Durability,Medical (COVID-19)
Starfire,Energy Absorption,Climate Change
Starfire,Flight,Infrastructure Improvements
Starfire,Super Strength,Infrastructure Improvements
Starfire,Energy Blasts,Infrastructure Improvements
Starfire,Invulnerability,Medical (COVID-19)
Starfire,Omnilingualism,Education Improvements
Stargirl,Agility,Large Scale Conflict
Stargirl,Durability,Medical (COVID-19)
Stargirl,Energy Absorption,Climate Change
Stargirl,Super Strength,Infrastructure Improvements
Stargirl,Energy Blasts,Infrastructure Improvements
Stargirl,Stamina,Medical (COVID-19)
Stargirl,Super Speed,Medical (COVID-19)
Stargirl,Invulnerability,Medical (COVID-19)
Stargirl,Energy Constructs,Infrastructure Improvements
Stargirl,Force Fields,Large Scale Conflict
Stargirl,Heat Generation,Infrastructure Improvements
Stargirl,Gravity Control,Large Scale Conflict
Stargirl,Light Control,Drug Addiction
Stargirl,Energy Manipulation,Infrastructure Improvements
Static,Agility,Large Scale Conflict
Static,Accelerated Healing,Medical (COVID-19)
Static,Durability,Medical (COVID-19)
Static,Energy Absorption,Climate Change
Static,Flight,Infrastructure Improvements
Static,Marksmanship,Large Scale Conflict
Static,Intelligence,Education Improvements
Static,Energy Blasts,Infrastructure Improvements
Static,Electrokinesis,Infrastructure Improvements
Static,Enhanced Senses,Medical (COVID-19)
Static,Force Fields,Large Scale Conflict
Static,Levitation,Infrastructure Improvements
Static,Energy Manipulation,Infrastructure Improvements
Static,Mind Control Resistance,Miscellaneous
Steel,Durability,Medical (COVID-19)
Steel,Flight,Infrastructure Improvements
Steel,Super Strength,Infrastructure Improvements
Steel,Weapon-based Powers,Large Scale Conflict
Steel,Power Suit,Large Scale Conflict
Steel,Heat Resistance,Infrastructure Improvements
Steel,Radiation Immunity,Miscellaneous
Stephanie Powell,Accelerated Healing,Medical (COVID-19)
Stephanie Powell,Super Speed,Medical (COVID-19)
Steppenwolf,Agility,Large Scale Conflict
Steppenwolf,Accelerated Healing,Medical (COVID-19)
Steppenwolf,Stealth,Miscellaneous
Steppenwolf,Weapons Master,Large Scale Conflict
Steppenwolf,Longevity,Medical (COVID-19)
Steppenwolf,Intelligence,Education Improvements
Steppenwolf,Super Strength,Infrastructure Improvements
Steppenwolf,Stamina,Medical (COVID-19)
Steppenwolf,Super Speed,Medical (COVID-19)
Steppenwolf,Enhanced Senses,Medical (COVID-19)
Steppenwolf,Immortality,Medical (COVID-19)
Steppenwolf,Reflexes,Miscellaneous
Steppenwolf,Invulnerability,Medical (COVID-19)
Steppenwolf,Toxin and Disease Resistance,Medical (COVID-19)
Storm,Cold Resistance,Miscellaneous
Storm,Flight,Infrastructure Improvements
Storm,Intelligence,Education Improvements
Storm,Enhanced Senses,Medical (COVID-19)
Storm,Empathy,Drug Addiction
Storm,Heat Resistance,Infrastructure Improvements
Storm,Telepathy Resistance,Miscellaneous
Storm,Weather Control,Infrastructure Improvements
Stormtrooper,Durability,Medical (COVID-19)
Stormtrooper,Weapon-based Powers,Large Scale Conflict
Stretch Armstrong,Durability,Medical (COVID-19)
Stretch Armstrong,Size Changing,Infrastructure Improvements
Stretch Armstrong,Shapeshifting,Miscellaneous
Stretch Armstrong,Elasticity,Infrastructure Improvements
Sunspot,Accelerated Healing,Medical (COVID-19)
Sunspot,Flight,Infrastructure Improvements
Sunspot,Super Strength,Infrastructure Improvements
Sunspot,Energy Blasts,Infrastructure Improvements
Sunspot,Stamina,Medical (COVID-19)
Sunspot,Fire Control,Climate Change
Sunspot,Substance Secretion,Medical (COVID-19)
Sunspot,Fire Resistance,Large Scale Conflict
Sunspot,Heat Generation,Infrastructure Improvements
Sunspot,Light Control,Drug Addiction
Sunspot,Heat Resistance,Infrastructure Improvements
Sunspot,Radiation Absorption,Miscellaneous
Superboy,Accelerated Healing,Medical (COVID-19)
Superboy,Durability,Medical (COVID-19)
Superboy,Energy Absorption,Climate Change
Superboy,Flight,Infrastructure Improvements
Superboy,Super Strength,Infrastructure Improvements
Superboy,Energy Blasts,Infrastructure Improvements
Superboy,Super Speed,Medical (COVID-19)
Superboy,Jump,Miscellaneous
Superboy,Invulnerability,Medical (COVID-19)
Superboy,Force Fields,Large Scale Conflict
Superboy,Enhanced Hearing,Large Scale Conflict
Superboy,Vision - Telescopic,Large Scale Conflict
Superboy,Super Breath,Medical (COVID-19)
Superboy,Vision - Heat,Infrastructure Improvements
Superboy,Vision - X-Ray,Medical (COVID-19)
Superboy-Prime,Accelerated Healing,Medical (COVID-19)
Superboy-Prime,Durability,Medical (COVID-19)
Superboy-Prime,Energy Absorption,Climate Change
Superboy-Prime,Flight,Infrastructure Improvements
Superboy-Prime,Longevity,Medical (COVID-19)
Superboy-Prime,Intelligence,Education Improvements
Superboy-Prime,Super Strength,Infrastructure Improvements
Superboy-Prime,Stamina,Medical (COVID-19)
Superboy-Prime,Super Speed,Medical (COVID-19)
Superboy-Prime,Enhanced Senses,Medical (COVID-19)
Superboy-Prime,Jump,Miscellaneous
Superboy-Prime,Invulnerability,Medical (COVID-19)
Superboy-Prime,Enhanced Hearing,Large Scale Conflict
Superboy-Prime,Hypnokinesis,Drug Addiction
Superboy-Prime,Power Suit,Large Scale Conflict
Superboy-Prime,Enhanced Smell,Miscellaneous
Superboy-Prime,Vision - Telescopic,Large Scale Conflict
Superboy-Prime,Magic Resistance,Miscellaneous
Superboy-Prime,Vision - Microscopic,Medical (COVID-19)
Superboy-Prime,Super Breath,Medical (COVID-19)
Superboy-Prime,Vision - Infrared,Miscellaneous
Superboy-Prime,Vision - Heat,Infrastructure Improvements
Superboy-Prime,Vision - X-Ray,Medical (COVID-19)
Supergirl,Agility,Large Scale Conflict
Supergirl,Accelerated Healing,Medical (COVID-19)
Supergirl,Cold Resistance,Miscellaneous
Supergirl,Durability,Medical (COVID-19)
Supergirl,Energy Absorption,Climate Change
Supergirl,Flight,Infrastructure Improvements
Supergirl,Intelligence,Education Improvements
Supergirl,Super Strength,Infrastructure Improvements
Supergirl,Stamina,Medical (COVID-19)
Supergirl,Super Speed,Medical (COVID-19)
Supergirl,Enhanced Senses,Medical (COVID-19)
Supergirl,Jump,Miscellaneous
Supergirl,Enhanced Memory,Education Improvements
Supergirl,Reflexes,Miscellaneous
Supergirl,Invulnerability,Medical (COVID-19)
Supergirl,Enhanced Hearing,Large Scale Conflict
Supergirl,Hypnokinesis,Drug Addiction
Supergirl,Heat Resistance,Infrastructure Improvements
Supergirl,Vision - Telescopic,Large Scale Conflict
Supergirl,Toxin and Disease Resistance,Medical (COVID-19)
Supergirl,Vision - Microscopic,Medical (COVID-19)
Supergirl,Super Breath,Medical (COVID-19)
Supergirl,Vision - Night,Large Scale Conflict
Supergirl,Vision - Infrared,Miscellaneous
Supergirl,Vision - Heat,Infrastructure Improvements
Supergirl,Vision - X-Ray,Medical (COVID-19)
Supergirl,Vision - Thermal,Infrastructure Improvements
Superman,Agility,Large Scale Conflict
Superman,Accelerated Healing,Medical (COVID-19)
Superman,Cold Resistance,Miscellaneous
Superman,Durability,Medical (COVID-19)
Superman,Energy Absorption,Climate Change
Superman,Flight,Infrastructure Improvements
Superman,Marksmanship,Large Scale Conflict
Superman,Longevity,Medical (COVID-19)
Superman,Intelligence,Education Improvements
Superman,Super Strength,Infrastructure Improvements
Superman,Stamina,Medical (COVID-19)
Superman,Super Speed,Medical (COVID-19)
Superman,Enhanced Senses,Medical (COVID-19)
Superman,Energy Beams,Large Scale Conflict
Superman,Jump,Miscellaneous
Superman,Enhanced Memory,Education Improvements
Superman,Reflexes,Miscellaneous
Superman,Invulnerability,Medical (COVID-19)
Superman,Fire Resistance,Large Scale Conflict
Superman,Enhanced Hearing,Large Scale Conflict
Superman,Hypnokinesis,Drug Addiction
Superman,Enhanced Sight,Miscellaneous
Superman,Heat Resistance,Infrastructure Improvements
Superman,Enhanced Smell,Miscellaneous
Superman,Vision - Telescopic,Large Scale Conflict
Superman,Vision - Microscopic,Medical (COVID-19)
Superman,Super Breath,Medical (COVID-19)
Superman,Vision - Heat,Infrastructure Improvements
Superman,Vision - X-Ray,Medical (COVID-19)
Swamp Thing,Stealth,Miscellaneous
Swamp Thing,Flight,Infrastructure Improvements
Swamp Thing,Longevity,Medical (COVID-19)
Swamp Thing,Intelligence,Education Improvements
Swamp Thing,Super Strength,Infrastructure Improvements
Swamp Thing,Duplication,Medical (COVID-19)
Swamp Thing,Size Changing,Infrastructure Improvements
Swamp Thing,Immortality,Medical (COVID-19)
Swamp Thing,Camouflage,Large Scale Conflict
Swamp Thing,Self-Sustenance,Medical (COVID-19)
Swamp Thing,Natural Armor,Large Scale Conflict
